Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
11,AMCU-PHC CHANDKHEDA,AHMADABAD,"Chandkheda Uphc Opp, Manikrupa School Ioc Road Chandkheda"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
12,AMCU-PHC CHANDLODIYA,AHMADABAD,"Chandlodiya Urban Heal Th,Center Opp,Baliyadev,Temple Below Chandlodiya"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
13,AMCU-PHC DANILIMDA,AHMADABAD,"Nr. Uttamnagar Soc, Behind Zahra Flat, Danilimda Gaam"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
14,AMCU-PHC DARIYAPUR,AHMADABAD,"Dariyapur Urban Primary Health Center,Parvatibai Hospi, Opp.Dariyapur Tower,Jorden Road,Dariyapur,Ahmedabad-380001"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
15,AMCU-PHC DUDESHWAR,AHMADABAD,"Nr, Lala Kaka Hall New Shahpur Met. Home  Dudheshwar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
16,AMCU-PHC GANDHIGRAM,AHMADABAD,"Urban Health Centre Ambawadi Opp Td International, Bhudarpura Road,Ambawadi"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
17,AMCU-PHC GHATLODIYA,AHMADABAD,"Ghatlodiya Urban Health Centre ,Ahmedabad Municipal Corporation,Under Chankyapuri Bridge, Ahmedabad-380061"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
18,AMCU-PHC GIRDHARNAGAR,AHMADABAD,Balabhav Opp Akashar Restorent Nr Jethabhai Parmar Garden Nr Civil Hospital Girdharnagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
19,AMCU-PHC GODASHAR,AHMADABAD,"At Pani Taki,  Nr.Ramwadi Bus Stand, Godasardr Nisha Rana"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
20,AMCU-PHC GOMTIPUR,AHMADABAD,"Gomtipur Darvaja,Opp.Dena Bank,Nr.Gomtipur Shak Market,Gomtipur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
21,AMCU-PHC ISHANPUR,AHMADABAD,"Chadola Lak  ,Aadarsh -Terna Ment Na Khachama,Isanpur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
22,AMCU-PHC JAMALPUR,AHMADABAD,"Ground Floor,Aarogya Bhavan,Nr.Old S.T.Bus Stand,Astodia,Jamalpur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
23,AMCU-PHC JODHPUR,AHMADABAD,"Jodhpur Urban Health Center ,Nr.Anupam ,Shopping Center, Jodhpur Gam,Opp.Vivekanand Soc. Ahmedabd,Gujart - 380015"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
24,AMCU-PHC JUNA WADAJ,AHMADABAD,Khadi Gramudhyog Baord Office Compound Juna Vadaj Nr Chandrabhaga Bridge Vadaj Circle," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
25,AMCU-PHC KALI,AHMADABAD,Near Water Tank I.O.C.Road D-Cabin Kali," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
26,AMCU-PHC KALUPUR,AHMADABAD,First Floor Samjuba Building Opp Calico Dom Relief Road Kalupur Ahmedabad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
27,AMCU-PHC KANKARIYA,AHMADABAD,Opp. Kanak Society Nr.Vedmandir Parshi Agiyari  Majurgam Road Kankariya," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
28,AMCU-PHC KHADIYA,AHMADABAD,Khadia School No 32 Desai Pole Same Opp.Desai Pole Khadia," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
29,AMCU-PHC KHOKHARA,AHMADABAD,"Balbhavan,Opp.Post Office  Khokara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
30,AMCU-PHC KRISHNANAGAR,AHMADABAD,"Nr Saijpur Tower,Panchayat 3,Home Krishnanagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
31,AMCU-PHC KUBERNAGAR,AHMADABAD,"1,B.J.Row House,Limda Bus Stand,Ahmedabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
32,AMCU-PHC LAMBHA,AHMADABAD,Near Lambhagam Bus Stop. Lambha Ahmadabad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
33,AMCU-PHC MADHUPURA,AHMADABAD,"Nr. Lakhaji Kuvarji Hall, Hajipura Garden, Shahibaug, Ahmedabad-380004."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
34,AMCU-PHC MANINAGAR,AHMADABAD,Nr. Uttamnagar Garden," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
35,AMCU-PHC MEGHANINAGAR,AHMADABAD,"Under Memko Bridage ,Rameshwar Charrasta Meghaninagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
36,AMCU-PHC NARANPURA,AHMADABAD,"Nr. Naranpura Muster Station , Nr. Kameshwar Mahadev"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
37,AMCU-PHC NARODA MUTHIYA,AHMADABAD,"Galaxy Avenue, Near Galaxy Takies, Naroda"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
38,AMCU-PHC NARODA ROAD,AHMADABAD,"Chamunda Master Station,Nr Chamunda Slum Quaters,End Of Chamunda Bridge,Naroda Road"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
39,AMCU-PHC NAVA NARODA-NIKOL,AHMADABAD,Nava Naroda-Nikol  Urbun Health Center Opp. Beti Bachav Medan Nr. Zeel Recidency Nikol," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
40,AMCU-PHC NAVA WADAJ,AHMADABAD,"Navawadaj Urban Health Centre,Nr Parth Tower,Navawadaj"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
41,AMCU-PHC NAVRANGPURA,AHMADABAD,"Beside Aids Control Society B/H, Lal Banglow,  Off C.G.Road,Navrangpura"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
42,AMCU-PHC NEW GOTA,AHMADABAD,"Near Kargil Petrol Pump, Behind Ganesh Meredian, Chankyapuri, Ahmedabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
43,AMCU-PHC NEW RANIP,AHMADABAD,"Newranip Uhc, Nr.Om Residency,Opp. Malay Hills, Newranip."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
44,AMCU-PHC NEW VEJALPUR,AHMADABAD,"New Vejalpur Urban Health Center B/L. Jivrajpark Under Bridge B/S. Railway Track, Jivrajpark, Ahmedabad."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
45,AMCU-PHC NOBALNAGAR,AHMADABAD,"B/H Ganpati Mandir, Opp. Naroda Police Station Naroda"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
46,AMCU-PHC ODHAV,AHMADABAD,"Odhav Urban Health Center,Near Ranchhodji Tempale,Rabari Vashat,Odhav"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
47,AMCU-PHC OGNAJ,AHMADABAD,"Oghnaj Urban Health Center Nr.V.S.S.High School,Oghnaj Gam"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
48,AMCU-PHC PALDI,AHMADABAD,Paldigam Oppesis Despensary," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
49,AMCU-PHC PIPLAJ,AHMADABAD,"Piplaj Near Muncipal School,Piplaj Gam"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
50,AMCU-PHC POTALIYA,AHMADABAD,"India Colony Uhc Near Chandraprasad Desai Hall,Opp Shreeji School Bapunagar 380024"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
51,AMCU-PHC RAIKHAD,AHMADABAD,"Medical Officer Uphc-Raikhad Nr Raj, Hospital Opp, Gaykwad Hospital Raikhad Ahmedabad Gujarat"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
52,AMCU-PHC RAJPUR,AHMADABAD,"Rajpur Urban Helth Center,B/H Civic Center Near Chakudia Mahabev Temple,Rajpur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
53,AMCU-PHC RAKHIYAL,AHMADABAD,"Rakhial Urban Helth Center ,Rakhial Municipal School ,Rakhial Char Rasta"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
54,AMCU-PHC RAMOL,AHMADABAD,Ramol Phc Na Makan Ma Smasangruh Ni Baju Ma Bharwadvad Ramol," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
55,AMCU-PHC RANIP,AHMADABAD,"Ranip Urban Health Center,Opp,Roop Kalmal Soc,Near Gayatri Temopal Road,Ranip"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
56,AMCU-PHC SABARMATI,AHMADABAD,"Nr. Pukhraj Hospital,Ramnagar,Sabarmati,Ahmedabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
57,AMCU-PHC SAIJPUR,AHMADABAD,Saijpur Uphc Nr. Ioc Petrol Pump Memco Cross Road Saijpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
58,AMCU-PHC SANKALITNAGAR,AHMADABAD,"Urban Health Center Sankalitnagar E Ward Bh, Karishma Comp, Jivraj Police Chowky Juhapura Ahmedabad 380055"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
59,AMCU-PHC SARASPUR,AHMADABAD,"Potaliya Cross Road,Nr Municipal Sananagar,Saraspur.Ahmedabad-380018"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
60,AMCU-PHC SARDARNAGAR,AHMADABAD,"Sardarnagar Master,Station Opp Police ,Station,Ambawadi,Sardarnagar,Ahmedabad-382475"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
61,AMCU-PHC SARDARNAGAR 2,AHMADABAD,"Urban Health Centre New Sardarnagar, Near Ozone City, Iti Road, Naroda, Ahmedabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
62,AMCU-PHC SARKHEJ,AHMADABAD,"Sarkhej Uhc Nr. Iti College, Opp. Shakari Talav, Sarkhej Gam, Sarkhej"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
63,AMCU-PHC SHAHPUR,AHMADABAD,Shahpur  Chakla Mat.Home  Opp Mangal Parekh No Khancho Shahpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
64,AMCU-PHC STADIUM,AHMADABAD,"Nr. Shah Hos., Opp. Rejenta Hotel, Shantinagar, Usmanpura, Ahmedabad."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
65,AMCU-PHC THAKKARNAGAR,AHMADABAD,"Thakkar Bapa Nagar,Muster Station,Kevda Jini Chali,Opp Bajarang Asharam"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
66,AMCU-PHC THALTEJ,AHMADABAD,Rotla Kendra Opp Patel Estate Malav Talav Thaltej Gam Thaltej," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
67,AMCU-PHC VASNA,AHMADABAD,"Vasna Uhc Opp Pravinngar Bus Stand,Near Vasna Cancer Hospital Vasna"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
68,AMCU-PHC VASTRAL,AHMADABAD,Vastral Urbun Health Center Opp Rajdhani Tenament Nr Nirant Cross Road Vastral," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
